feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X37.13_Genus	Treatment	A- T+ P+	-0.119047530130906	0.0438471788857955	130	4	0.00755635000712495	0.0712052512761952
Babeliaceae_Genus	Treatment	A+ T+ P+	0.538741006918167	0.198578877550868	130	7	0.00760111153430458	0.0712052512761952
Rhizobium	Treatment	A- T+ P+	-1.80589961218876	0.665410171347281	130	61	0.00757987737877943	0.0712052512761952
Simkaniaceae_Genus	Treatment	A+ T+ P+	0.687725289797715	0.253123589007884	130	11	0.00751556111988176	0.0712052512761952
Paracoccaceae_Genus	Treatment	A+ T+ P+	-1.48705326864522	0.549072096889394	130	126	0.0077030420569349	0.0716975452991633
Permianibacter	Treatment	A+ T+ P+	0.851264159348465	0.322355331294058	130	15	0.00931858078735555	0.0856365778686092
Chryseotalea	Treatment	A- T+ P+	2.22254010120998	0.840948239366708	130	95	0.00926317329194339	0.0856365778686092
Phaselicystis	Treatment	A- T+ P+	-0.704620728421561	0.267485425424107	130	15	0.00948980505815128	0.08666161600274
Cytophagales_Genus	Treatment	A+ T+ P+	-2.76628902717997	1.05603531619174	130	62	0.00988705255186411	0.0894801340487076
Sporichthyaceae_Genus	Treatment	A+ T+ P+	0.629625814666199	0.240476307380751	130	18	0.00992169530429884	0.0894801340487076
Phaselicystis	Treatment	A+ T+ P+	-0.748519805358359	0.286625991077062	130	15	0.0101094526657444	0.0906106498188945
Lysobacteraceae_Genus	Treatment	A+ T+ P+	0.285560899879947	0.109656662842652	130	4	0.0103172647347171	0.0919059410724491
Sandaracinaceae_Genus	Treatment	A+ T+ P+	-1.21148580218878	0.467045747818452	130	24	0.0106121095460285	0.0933865640050505
Dechlorobacter	Treatment	A- T- P+	0.730933991837439	0.281703348964114	130	13	0.0105898843921089	0.0933865640050505
Paenirhodobacter	Treatment	A+ T+ P+	-1.71977728972604	0.664117051885895	130	100	0.0107405370313097	0.0939473480088057
Candidatus_Alysiosphaera	Treatment	A- T- P+	1.07029781572101	0.41542515644846	130	39	0.0111368492388607	0.0964754938985247
Barnesiellaceae_Genus	Treatment	A+ T+ P+	-0.629730401252053	0.244502833774804	130	19	0.0111624538394987	0.0964754938985247
Phaselicystis	Treatment	A- T- P+	-0.659021997099403	0.25773964397355	130	15	0.0117462086031339	0.100920088116866
Luteolibacter	Treatment	A- T- P+	1.37566709677201	0.539043374475526	130	42	0.0119035021995907	0.101669912904739
NS9_marine_group_Genus	Treatment	A- T+ P+	1.7725961398008	0.697203252083623	130	53	0.0122191767404047	0.102565899366531
Candidatus_Protochlamydia	Treatment	A- T- P+	1.01089420667225	0.396960320396565	130	42	0.0120820300895703	0.102565899366531
